metabolite,A002,A004,A006,A007,A011,A012,A014,A015,A016,A018,A020,A022,A024,A025,A026,A028,A030,A031,A032,A033,A035,A036,A040,A041,A042,A044,A045,A047,A050,A051,A052,A056,A057,A060,A061,A062,A063
2-Deoxy-D-Glucose 6-phosphate,0,3.58E-04,4.42E-04,0,0.002098611,0.001366732,0.001724471,0.001813121,0,0,5.33E-04,0.00250989,5.55E-04,8.16E-04,8.09E-04,2.07E-04,0,4.56E-04,0,7.64E-04,3.48E-04,0,0.002100595,7.35E-05,0,2.80E-04,0.002494815,4.52E-04,8.02E-04,0.003468476,3.06E-04,2.18E-04,0.001270531,6.85E-04,6.40E-04,7.30E-04,6.78E-04
2-Hydroxy-4-(Methylthio)Butyric Acid,0.003520595,0.006149665,0.00202658,0.00994243,0.040488048,0.038872611,0.009407433,0.019893573,0.076790881,0.029079395,0.038724263,0.003373779,0.007374538,0.00501285,0.002002962,0.002230388,0.026772266,0.010313382,0.007587886,0.032324004,0.005809438,0.019257205,0.024398844,0.089526671,0.040931013,0.003901149,0.001763239,0.018885332,0.003304263,0.004523745,0.001848713,0.01589343,0.003344057,0.025707556,0.00472798,0.002281569,0.00711957
2-hydroxyglutarate,0.019016994,0.012515582,0.013310259,0.016180098,0.008859959,0.017959862,0.028997992,0.010179787,0.017855458,0.039610824,0.014625895,0.011939655,0.026882894,0.008600255,0.015775357,0.011355973,0.039642687,0.028662858,0.026210043,0.016812753,0.030894099,0.028639758,0.015411184,0.025030944,0.015206769,0.010425616,0.004776334,0.02729735,0.019625164,0.006242891,0.008376505,0.0146417,0.016963407,0.009851774,0.027446481,0.019580602,0.014597731
2-Hydroxyhexadecanoic acid,0.494600696,0.326549918,0.307267103,0.598821002,0.125153489,0.169471108,0.196153922,0.120639015,0.200623096,0.483826206,0.10892321,0.13509642,0.374329629,0.256940754,0.150004333,0.215929481,0.222674294,0.690477641,0.497564302,0.180327831,0.255540287,0.061158092,0.138960228,0.081570382,0.081478957,0.085206016,0.126745603,0.680268395,0.185373125,0.426710225,0.125021604,0.30495636,0.203446351,0.376703802,0.431215479,0.191546849,0.19240285
2-Hydroxyisocaproic acid,0.118555451,0.235889495,0.047674617,0.115546656,0.440328584,0.233760817,0.074092124,0.144156582,0.221391798,0.115907453,0.469958796,0.021802725,0.274785772,0.067684041,0.026145288,0.027917847,0.106085177,0.124660935,0.058478901,0.311357015,0.14281864,0.03075703,0.300031669,0.347225814,0.223019835,0.123964347,0.036680017,0.05611195,0.063298842,0.062993393,0.027423186,0.061960159,0.01536028,0.036537262,0.072766649,0.128513019,0.029524723
2-Hydroxypyridine,0.187243819,0.09544987,0.011428379,0.035311773,0.013256432,0.111292387,0.078051505,0.11651993,0.081749549,0.548942691,0.055105394,0.073560211,0.074704541,0.108777868,0.070707027,0.108376455,0.286075686,0.450914595,0.106039713,0.050264627,0.167882628,0.049730845,0.042841737,0.04040252,0.055565761,0.124700886,0.025975476,0.241115916,0.137542839,0.145845581,0.046079764,0.097232604,0.071547695,0.067300217,0.240765455,0.434442291,0.064760922
2-Hydroxytetradecanoic acid,0.024332535,0,0.008187808,0.022826125,0,0,0,0.016135179,0.012508306,0.019455345,0.008347307,0.018590039,0.011780139,0.016486747,0.018349052,0,0.019582917,0.013611367,0.024009674,0,0,0,0.008595132,0,0.008197196,0,0.016679464,0.027519287,0.025847519,0.055485496,0,0,0.008741124,0,0.036456507,0.012409702,0
2-Methylcitrate,0.004176003,0.004784273,0.004421064,0.003040546,0.019437008,0.002983533,0.002199547,0.012085571,0.001847618,0.006656017,8.97E-04,0.009640218,0.016593711,0.001694346,0.003103118,0.00279484,0.003371686,0.004891755,0.002159269,0.002578959,0.004275759,0.001528453,0.002213643,0.002469315,0.014701734,0.010692503,0.010830517,0.003499666,0.001880049,0.009737912,0.001857624,0.005221467,0.003916801,0.006379189,0.002780977,0.004590627,0.004909287
2-Methylmaleate,0.071083533,0.066058111,0.005393032,0.058734911,0.024961031,0.072359034,0.084662694,0.07857952,0.061818179,0.121161196,0.033011002,0.069844241,0.107459527,0.031603537,0.036697453,0.051591054,0.110281516,0.18939046,0.072133143,0.034855192,0.118189943,0.027237976,0.027106372,0.026287436,0.030943538,0.068128798,0.021528095,0.104267639,0.067748994,0.059620939,0.034181931,0.060381591,0.0383098,0.05998509,0.102202395,0.058306481,0.041368642
2-Phosphoglycerate,0.00188848,0.001280969,0.001157105,0.001414713,1.39E-04,0.003024776,0.009575412,0.001629295,0,0.005095348,4.34E-04,7.96E-04,0.001349899,3.19E-04,8.96E-04,0,0,5.65E-04,0,5.11E-04,0,0,8.49E-05,0,0,0,9.34E-04,5.69E-04,8.08E-04,0.004967908,0,5.18E-04,4.67E-04,4.98E-04,6.91E-04,8.45E-04,3.14E-04
2-3-Dihydroxybenzoate,0.014301552,0.019083804,0.032513433,0.212545039,0.006755454,0.057902964,0.022736392,0.057878353,0.023044645,0.030768296,0.008507518,0.022198204,0.035472723,0.032042182,0.026335599,0.016357382,0.030090854,0.034056958,0.042235428,0.075504707,0.031048113,0.095345509,0.00718032,0.010275321,0.00598693,0.225911547,0.010349417,0.062533744,0.020227134,0.012239724,0.042021681,0.012716802,0.045459486,0.026639798,0.023769053,0.010583765,0.016725294
2-4-Dihydroxypteridine,0.010812833,0.008548504,0,0.005450674,0.001927642,0.003204331,0.001899185,0.001705604,0.001428335,0.009238217,8.84E-04,0.001532814,0.00239954,0.001037898,6.91E-04,0.001312948,0.003750806,0.006697865,0.001924404,5.54E-04,0.003867353,4.89E-04,6.09E-04,6.24E-04,0.001901082,0.003940503,6.77E-04,0.006529336,0.001474747,0.001696233,5.77E-04,0.002180249,9.98E-04,0.00210108,0.006113009,0.005624461,0.001798159
2-6-Dihydroxypyridine,0.285341298,0.127356809,0.017998527,0.037656417,0.020646529,0.130338618,0.048057962,0.077527557,0.076368325,0.700727666,0.047537303,0.029797203,0.083935262,0.065512491,0.035855162,0.073315001,0.170560531,0.292994947,0.070682518,0.024579214,0.115744981,0.013299139,0.032813292,0.015722606,0.058230808,0.174782852,0.011160484,0.323084567,0.12926401,0.031792992,0.039186968,0.072244352,0.063237761,0.060698022,0.240715283,0.364768776,0.059803616
2'-Deoxy-5'-Adenosine Monophosphate,0.001374498,0.00125595,0,8.52E-04,0.001092388,0.001790051,8.96E-04,0.005220592,0.002366913,0.001966403,0.001424075,0.005207682,0.007797057,0.001400972,0.003101974,0.01696296,0,0.007988502,0.001733488,0.001510999,0.001937678,0,8.12E-04,1.56E-04,0.001185148,0.001839378,0.004111344,0.001478639,0.003352701,0.011379025,0.002773134,5.66E-04,0.001184562,0.001030779,3.09E-04,0.002577537,0.009573336
3 Hydroxybenzyl Alcohol,0.024409866,0.017180106,0.011895514,0.024977178,0.00218108,0.014620339,0.013205542,0.013213719,0.011515504,0.042511687,0.008164071,0.009205516,0.013472529,0.010303754,0.012154929,0.010099003,0.026695467,0.039627828,0.016098445,0.008295416,0.009450892,0.007992284,0.008667693,0.005680316,0.008131137,0.014194915,0.006246275,0.025865775,0.019254311,0.011477546,0.008134708,0.012894759,0.014593968,0.009872506,0.021723031,0.020589873,0.007393288
3-(2-Hydroxyphenyl)Propanoate,0.093895926,0.104686643,0.043686969,0.228709045,0.154716955,0.169942003,0.055310732,0.064076273,0.182344289,0.180243568,0.124047829,0.022497267,0.225793233,0.256601199,0.023633466,0.024069739,0.067993976,0.116906148,0.040556989,0.154666814,0.045063883,0.01624411,0.110115707,0.185159501,0.08909364,0.077017145,0.022410197,0.323107847,0.051070887,0.033113726,0.025168126,0.060615067,0.02498718,0.078243585,0.064227089,0.089548935,0.019601462
3-(4-Hydroxyphenyl)Pyruvate,0.291539634,0.140062763,0.002675046,0.22308434,0.032309492,0.051788786,0.041618195,0.046754599,0.03345856,0.432475667,0.027346272,0.04119927,0.039932276,0.011837518,0.014422619,0.045754466,0.137920757,0.19146645,0.085051703,0.022438626,0.116018705,0.019994639,0.015942242,0.017685139,0.021670662,0.045642768,0.015302746,0.067269002,0.074450023,0.028948473,0.017243921,0.048376091,0.029313041,0.033351766,0.115011821,0.225628803,0.020611966
3-Amino-4-Hydroxybenzoate,9.38E-04,0.002322971,0.001023785,0.001100123,3.95E-04,5.39E-04,6.84E-04,4.03E-04,4.33E-04,0.001242062,2.98E-04,0.001678852,6.00E-04,0.00115691,8.94E-04,4.58E-04,7.52E-04,0.001573069,0.001009017,5.92E-04,0.001078489,4.36E-04,3.76E-04,4.97E-04,3.13E-04,5.52E-04,7.79E-04,6.92E-04,4.31E-04,6.14E-04,6.52E-04,6.46E-04,4.54E-04,3.89E-04,0.001019354,0.001394233,5.64E-04
3-Dehydroshikimate,0.040831597,0.033678022,0.00493875,0.025489378,0.008134194,0.02464039,0.015875923,0.016085698,0.012353894,0.044013553,0.009658267,0.012689581,0.014550375,0.013894424,0.014197624,0.018248239,0.04037829,0.087949386,0.018885763,0.01166116,0.062007289,0.014113372,0.006933512,0.009630013,0.012705686,0.030049273,0.007689557,0.039028586,0.023086587,0.019670761,0.00994912,0.020605693,0.013958818,0.014919425,0.044106577,0.051912903,0.011397819
3-Hydroxyanthranilate,0.004961495,0.003867048,0.004569304,0.016641449,0.016216253,0.003880723,0.020432238,0.002446701,0.011698963,0.004061813,0.003395298,0.008672197,0.021703401,0.004029227,0.008411469,0.012426408,0.004071662,0.010216349,0.009006501,0.005122477,0.119405953,0.063228233,0.001997183,0.032682124,0.001463415,0.006239638,0.004123764,0.006410302,0.002923872,0.005786209,0.006255122,0.006402683,0.017443377,0.009085654,0.003753135,0.004219701,0.00399575
3-Hydroxybenzaldehyde,3.222646927,1.828211001,0.056841791,2.851622581,0.554273261,0.591664059,0.789682302,0.748063135,0.522682156,3.754625378,0.442925768,0.697513924,0.638365707,0.27160132,0.224584244,0.728048546,1.765768449,2.441516211,1.307325813,0.418545495,2.044155714,0.349217577,0.300031669,0.210743991,0.419293975,0.637824193,0.197124647,0.857138178,0.973886168,0.520180084,0.35354289,0.663717813,0.555018983,0.419580658,0.93238321,3.106784186,0.353599842
3-hydroxybutyric acid,0.012871061,0.009344651,0.007697501,0.011921788,0.01175813,0.035145787,0.015823283,0.017926782,0.021746934,0.025004531,0.011252195,0.007609379,0.014598472,0.012203275,0.010604341,0.00831654,0.017657596,0.022247016,0.015351182,0.017926554,0.053333719,0.022925565,0.022987628,0.004536702,0.004706554,0.010465167,0.008786383,0.027882541,0.01398872,0.02139691,0.008645667,0.00706248,0.016665695,0.015130895,0.029797807,0.013756252,0.007155912
3-Hydroxykynurenine,0.006905616,0.005596709,0.00582153,0.010460714,0.001920161,0.00335556,0.027435367,0.005596522,0.00786104,0.003311854,0.00101208,0.008709254,0.010203012,0.011694121,0.01276572,0.005341561,0.009063947,0.123042328,0.006803237,0.003791788,0.01535527,0.005311836,0.001849703,0.003307025,0.001663513,0.002458661,0.021782268,0.012988252,0.001776118,0.007320297,0.006441624,0.00398722,0.004715796,0.003868685,0.004610796,0,0.022210941
3-Hydroxymethylglutarate,0.008846626,0.005354518,0.013770456,0.010202567,0.061310901,0.015948604,0.035269747,0.0183828,0.021751025,0.004479375,0.00870416,0.006448395,0.011678729,0.010513585,0.008298682,0.01272251,0.005561396,0.005895184,0.009586846,0.081342377,0.018957932,0.092374141,0.01235122,0.023269497,0.009660619,0.03741264,0.012430906,0.009204074,0.003187562,0.007072224,0.01565679,0.094242349,0.007571004,0.012656566,0.00485707,0.003548456,0.003600963
3-Hydroxyoctanoic acid,0.031827902,0.025735976,0.005793239,0.02080804,0.007203089,0.03477944,0.037297491,0.02740465,0.02425415,0.079362397,0.014064184,0.031428057,0.033969358,0.015293219,0.014026421,0.028272301,0.058737348,0.099451728,0.032323493,0.014754453,0.054227364,0.014192832,0.014936344,0.013154809,0.013015733,0.035766716,0.008311763,0.059705459,0.034476601,0.020977668,0.018005362,0.02301378,0.019706278,0.027196442,0.067082351,0.040101511,0.016608119
3-Methoxy-4-Hydroxymandelate,0.014695719,0.014301377,0.023800451,0.030865016,0.00676506,0.023673784,0.031732404,0.015278703,0.009005125,0.017766577,0.012926637,0.015585062,0.014729781,0.013597921,0.013464452,0.010965919,0.036101175,0.047029245,0.024244336,0.011472987,0.036923444,0.011476213,0.009602794,0.014600521,0.011406014,0.023464904,0.012065127,0.025600877,0.013834859,0.020494995,0.009702879,0.015310054,0.010142029,0.010511209,0.030707612,0.015201262,0.012078698
3-Methoxytyramine,0.00102924,0,0.00175201,0,0,7.31E-04,8.21E-04,0.001116901,0,0.001545571,0,0,6.41E-04,0,7.17E-04,6.79E-04,0.001461402,0.001211602,8.54E-04,7.59E-04,0.003491213,0.001196762,7.09E-04,0.001071215,3.81E-04,0,7.15E-04,0,0,9.59E-04,8.38E-04,0.001762288,0.001875973,0.001311773,0.001550313,0,5.81E-04
3-Methoxytyrosine,0.011410436,0.006971497,0.006602075,0.007301588,0.00245101,0.009011229,0.01425348,0.007793963,0.008408282,0.007707968,0.004186299,0.018420418,0.00870737,0.013700868,0.016246166,0.008997658,0.015296243,0.031288387,0.027735492,0.007247228,0.026455855,0.006983908,0.003723267,0.005838818,0.004324407,0.006486473,0.00892515,0.020385847,0.007812406,0.020742111,0.010495643,0.008250524,0.009534362,0.006578277,0.020916198,0.01022197,0.007757938
3-Methyl-2-Oxindole,0.002530965,0.005304443,0.007695244,0,0,0,0.004021383,2.96E-04,2.10E-04,0.00592239,0,0,0,0.001400022,7.18E-04,0.011999976,0,0,0,8.04E-04,0,0,0,9.11E-04,0,0,0,0.002816496,0.001276447,0.002390732,0,5.33E-04,0.001233851,0,0,0,0
3-Methyl-2-Oxovalerate,0.116194553,0.113731514,0.095276059,0.190175825,0.046883775,0.133643036,0.095306458,0.088501391,0.063904287,0.214651428,0.073661972,0.085436852,0.101947013,0.036472344,0.038247449,0.158625205,0.261048977,0.26784971,0.145533857,0.038725085,0.324643873,0.051590988,0.038012709,0.155031721,0.091225655,0.135871583,0.02309434,0.183389831,0.102784263,0.05373001,0.028553079,0.092053878,0.04283942,0.059803758,0.254358739,0.166731899,0.062482632
3-Methyl-L-Histidine,0.214286703,0.018828481,0.082358013,1.441976951,0.107320509,0.210156059,1.966684971,0.512847407,0.039866508,0.033730257,0.021199723,0.044905861,0.357618485,0.114968942,0.417243799,0.015468069,0.013089062,0.016285816,0.045829166,1.697150941,0.065534996,0.085094921,0.014390231,0.497757236,0.308821311,0.011534531,0.014108786,0.045635504,0.051408126,0.045835987,0.053101678,1.746286673,0.246051832,0.130716025,0.006434238,0.130437965,0.022858405
3-Methyladenine,0.009221139,0.010194469,0.058148907,0.024551748,0.003230001,0.007271948,0.00429242,0.007987614,0.022064072,0.029678705,0.001663694,0.008814017,0.004290447,0.005426165,0.010128505,0.00475458,0.012131313,0.02094476,0.018962265,0.006684433,0.012428145,0.003196401,0.0139358,0.007988468,0.009400045,0.007525335,0.005426285,0.014262898,0.011664774,0.014107961,0.005411569,0.00606744,0.019421445,0.008170314,0.016098986,0.019256543,0.004502767
3-Methylglutaconate,0.023794254,0.029573055,0.010673952,0.020202846,0.007459408,0.031537535,0.022246141,0.020643637,0.01423883,0.032522312,0.012646133,0.02112373,0.019954993,0.009937677,0.011427893,0.027498154,0.058790084,0.073584471,0.027906784,0.015346383,0.054250492,0.011738062,0.011014503,0.010737254,0.008161601,0.03218646,0.012713255,0.042398396,0.024496229,0.022523803,0.012398446,0.022797841,0.014519808,0.011183332,0.075777969,0.025515568,0.016490309
3-4-Dihydroxyphenylglycol,9.90E-04,7.50E-04,0.001305103,0.001784012,0.001206588,0.002198053,0.001956323,0.001969446,0.003417636,7.35E-04,6.62E-04,0.002914291,0.001159047,0.003498428,0.003758751,0.001016293,0.002168092,0.002092049,0.002580337,0.002162462,0.00409393,0.001170848,0.001039252,0.001893133,6.33E-04,0.001765264,0.002001236,0.001945301,0.001883283,0.002627686,0.001981531,0.001229241,0.001395555,0.001420133,0.002369041,3.28E-04,9.89E-04
4-Acetamidobutanoate,0.042474531,0.033952937,0.086953904,0.057379078,0.027211172,0.018916331,0.029249312,0.026244249,0.02368238,0.05271226,0.0075002,0.049280759,0.018051025,0.024051484,0.021788703,0.030399871,0.06499511,0.053965513,0.0368701,0.024884932,0.064616862,0.041468329,0.012420929,0.016805848,0.031345394,0.024892269,0.038358404,0.07281171,0.02079876,0.020874791,0.023383172,0.070106693,0.05118653,0.019470891,0.02904699,0.008312551,0.024754285
4-Aminobenzoate,0.003212091,0.002143899,0.00140213,0.003572139,0.001106098,0.00276185,0.004037323,0.004348884,0.002041599,0.002966091,0.001213711,0.006476448,0.003922851,0.002777154,0.001992413,0.006179158,0.005955313,0.003712546,0.01756534,0.003878014,0.010623325,0.003010383,0.00205698,0.001193511,0.001765035,0.002697097,0.005279698,0.005065731,0.00183485,0.002238201,0.002118597,0.001807646,0.001251238,0.00150226,0.004545922,0.002299834,0.001724571
4-Coumarate,0.01067035,0.010680898,0.00962344,0.025276858,0.012621302,0.016467256,0.014792109,0.014939399,0.009631811,0.011021533,0.008821816,0.007584554,0.021513331,0.027222885,0.018063291,0.010154601,0.022614933,0.028685247,0.015039352,0.011396259,0.018022012,0.010269259,0.008299999,0.012030273,0.008327219,0.018087351,0.005217846,0.01676974,0.019893502,0.011643522,0.015347271,0.011902539,0.01016636,0.015434042,0.012367962,0.008931137,0.006918273
4-Guanidinobutanoate,0.074418564,0.039169198,0.050268185,0.325839483,0.048009456,0.153537119,0.084522444,0.543695371,0.188408169,0.023151159,0.044854716,0.035208363,0.139836682,0.103766335,0.018194802,0.025990831,0.047450361,0.050008024,0.037110713,0.100820485,0.063440398,0.336833975,0.059824038,0.100572436,0.035649623,0.052683636,0.069361675,0.056397853,0.0194657,0.074694623,0.014522868,0.245554948,0.047395807,0.271795281,0.035276877,0.008257359,0.021605584
4-Hydroxy-L-Phenylglycine,0.002410523,0.001505788,0.003593655,0.002316812,0.162735488,0.002224641,0.002604528,0.002212362,0.001659138,0.002706125,0.001275257,0.003895671,0.001581294,0.001742267,0.001963608,0.001780763,0.002363126,0.003324192,0.00445081,0.001881029,0.004271306,0.00203678,0.001698606,0.001492726,0.001225885,0.003146153,0.001943529,0.005229182,0.00149645,0.00247517,0.002872097,0.001299089,0.001852915,0.001815063,0.003151641,9.61E-04,0.001493069
4-Hydroxybenzaldehyde,3.222646927,1.828211001,0.056841791,2.851622581,0.554273261,0.591664059,0.789682302,0.748063135,0.522682156,3.754625378,0.442925768,0.697513924,0.638365707,0.27160132,0.224584244,0.728048546,1.765768449,2.441516211,1.307325813,0.418545495,2.044155714,0.349217577,0.300031669,0.210743991,0.419293975,0.637824193,0.197124647,0.857138178,0.973886168,0.520180084,0.35354289,0.663717813,0.555018983,0.419580658,0.93238321,3.106784186,0.353599842
4-Hydroxybenzoate,0.0235896,0.009226198,0.001504918,0.012294707,0.014856727,0.107712734,0.034253463,0.067660067,0.069870837,0.003770802,0.00868183,0.005608419,0.020373203,0.041864909,0.006544466,0.004392994,0.005394402,0.006693146,0.007496291,0.01955867,0.013719669,0.00821747,0.009542466,0.014431279,0.012075847,0.02251649,0.009521105,0.005849163,0.002724075,0.008446907,0.008551111,0.010046233,0.00805144,0.003557622,0.003219877,0.003152407,0.002481898
4-Imidazoleacetate,0.030310173,0.019538438,0.008334519,0.047056564,0.083664861,0.014192837,0.136385533,0.037874856,0.057402244,0.01734176,0.008035966,0.154320315,0.043758166,0.051661862,0.068126743,0.109071203,0.006102452,0.042689181,0.012544496,0.05380513,0.177191495,0.629086984,0.022714675,0.038400743,0.034226715,0.011247998,0.145456379,0.071682339,0.00449198,0.020311619,0.096647264,0.187552175,0.171495614,0.156459125,0.002332587,0.002627004,0.002789761
4-Pyridoxate,0.046628472,0.020980095,0.101377071,0.036882292,0.00631165,0.014450802,0.046953668,0.030054237,0.012455087,0.01710951,0.002021318,0.043864919,0.022132116,0.020068282,0.036466286,0.032948445,0.082459253,0.098314702,0.064538707,0.018945405,0.076576514,0.022375033,0.007628553,0.011736709,0.003183882,0.00955418,0.023732913,0.060998322,0.01807355,0.05474096,0.017746438,0.01290076,0.025378276,0.014913402,0.022889901,0,0.045618628
5-Aminolevulinic acid,0.003660145,0.005878,0.003534754,0.003488971,0.001459277,0.010224611,0.002289473,0.007086832,0.014604714,0.008232515,0.001174571,0.00275015,0.003104409,0.001498702,0.00193712,0.002165898,0.005604114,0.005086257,0.003137751,0.001929337,0.003990747,0.003451205,9.50E-04,0.001749486,0.00203197,0.005461487,0.002315888,0.004693451,0.001862346,0.005163101,0.002004252,0.004943834,0.003107031,0.004388193,0.003500016,0.001861129,0.001857993
5-Aminopentanoate,1.273407947,3.845547277,1.997980593,1.196258906,4.364660525,7.958298261,2.252474757,9.794228673,7.771458376,0.916679998,2.786481357,0.387101968,5.380988423,6.097315127,1.785929895,0.376100908,0.876092808,0.639112231,1.273179244,4.057849619,2.98139707,13.3990574,6.580004882,8.449830501,6.050889101,6.679915536,1.323589468,2.965970202,0.795340371,0.930634681,2.822861835,3.089831955,1.029366602,5.114596342,0.818350731,2.056978895,0.540954982
5-Hydroxy-L-Tryptophan,0,7.13E-04,0.001455391,9.88E-04,7.85E-04,1.50E-04,0.001050625,6.18E-04,9.00E-04,2.02E-04,4.42E-04,0.001097691,5.88E-04,2.23E-04,9.08E-04,5.39E-04,0,0.001724952,9.38E-04,8.25E-04,4.94E-04,9.02E-04,0.001240744,6.70E-04,5.57E-04,0.001067666,7.35E-04,0.001190415,7.07E-04,0.001300003,7.96E-04,8.67E-04,6.09E-04,9.12E-04,0.001417016,0,0.001642807
5-Hydroxyindoleacetate,0.001611222,0.001609694,0.002424209,0.002061382,0,0.001386621,8.50E-04,0,9.06E-04,0.00271371,0,0.001568057,0.003913174,2.48E-04,0.001210871,4.97E-04,4.81E-04,0.002299699,8.44E-04,5.95E-04,0,0.001126769,3.73E-04,5.52E-04,7.49E-04,0.001324765,3.82E-04,0.001397521,0.00131862,3.19E-04,2.75E-04,6.11E-04,0.00109644,0.002681942,0.001354008,0.00121969,2.28E-04
5-Hydroxylysine,0.004393271,9.87E-04,0.002636345,0.002368891,0.020765333,0.017330294,0.002858855,0.004518061,3.17E-04,0,0.026883753,0.003888725,8.12E-04,3.57E-04,0.008263316,4.22E-04,6.17E-04,0.001075533,0.001032688,0.006136236,0.001421166,0.002428985,2.43E-04,0.002631888,0.001743183,0.00117575,7.02E-04,0.001314594,6.64E-04,0.002350645,5.65E-04,8.78E-04,0.038464581,8.02E-04,8.21E-04,0.001430248,0.001657061
5-Hydroxymethyluracil,0,4.16E-04,6.59E-04,5.40E-04,0,0.002602978,0.00212025,4.30E-04,0.003200875,0,3.50E-04,0.002242409,5.80E-04,0,0.003103631,0,5.48E-04,0,5.80E-04,4.94E-04,0.001357472,0.001509699,0,0.002317109,5.29E-04,3.75E-04,0,0,4.73E-04,0,0,0,0,0.003483345,0,0,0
